time (ms),Viavi.UE.Rsrp,Viavi.UE.Rsrq,Viavi.UE.RsSinr,Viavi.Cell.beam
1739758277000,-80,8,-16,3
1739758277000,-93,-5,-24,1
1739758277000,-68,17,-7,4
1739758277000,-86,2,-23,1
1739758277000,-100,10,-14,1
1739758277000,-102,8,-16,2
1739758277000,-65,20,2,3
1739758277000,-76,20,3,2
1739758277000,-74,20,4,3
1739758277000,-88,19,-3,3
1739758277000,-105,4,-20,2
1739758277000,-77,20,-2,3
1739758277000,-85,14,-10,1
1739758277000,-84,18,-5,4
1739758277000,-102,4,-20,1
1739758277000,-79,2,-22,1
1739758277000,-80,2,-23,2
1739758277000,-79,20,0,3
1739758277000,-95,8,-16,2
1739758277000,-109,-3,-24,3
1739758277000,-123,-16,-24,2
1739758277000,-94,3,-22,1
1739758277000,-97,-2,-24,2
1739758277000,-80,19,-3,4
1739758277000,-86,15,-9,2
1739758277000,-87,19,-3,4
1739758277000,-105,4,-20,1
1739758277000,-112,-1,-24,4
1739758277000,-130,-19,-24,1
1739758277000,-82,14,-10,4
1739758277000,-96,0,-24,1
1739758277000,-103,8,-16,1
1739758277000,-104,7,-17,2
1739758277000,-68,16,-8,3
1739758277000,-81,3,-21,1
1739758277000,-109,1,-24,2
1739758277000,-111,-1,-24,1
1739758277000,-81,20,2,1
1739758277000,-107,4,-20,1
1739758277000,-107,4,-20,2
1739758277000,-81,20,-2,2
1739758277000,-83,17,-6,1
1739758277000,-93,16,-7,2
1739758277000,-99,11,-13,1
1739758277000,-88,20,-2,1
1739758277000,-89,19,-3,2
1739758277000,-77,20,5,2
1739758277000,-76,20,6,3
1739758277000,-74,18,-6,1
1739758277000,-77,17,-6,2
1739758277000,-65,20,5,2
1739758277000,-67,20,4,3
1739758277000,-87,20,-1,4
1739758277000,-102,8,-16,2
1739758277000,-79,20,0,1
1739758277000,-80,20,0,2
1739758277000,-102,8,-16,1
1739758277000,-102,8,-16,2
1739758277000,-42,20,3,1
1739758277000,-42,20,4,2
1739758277000,-56,20,6,2
1739758277000,-57,20,5,1
1739758277000,-76,20,3,3
1739758277000,-82,20,2,2
1739758277000,-81,20,2,3
1739758277000,-57,20,6,2
1739758277000,-60,20,5,1
1739758277000,-82,4,-21,1
1739758277000,-83,3,-21,2
1739758277000,-93,2,-22,3
1739758277000,-104,-9,-24,2
1739758277000,-75,20,5,3
1739758277000,-79,20,1,2
1739758277000,-97,-2,-24,4
1739758277000,-108,-13,-24,2
1739758277000,-88,18,-6,1
1739758277000,-90,17,-7,2
1739758277000,-73,20,4,2
1739758277000,-78,20,1,1
1739758277000,-92,18,-5,4
1739758277000,-99,12,-12,2
1739758277000,-78,20,-2,1
1739758277000,-79,20,-1,2
1739758277000,-102,1,-24,2
1739758277000,-103,1,-24,1
1739758277000,-88,20,-3,4
1739758277000,-106,5,-20,1
1739758277000,-83,4,-21,2
1739758277000,-85,2,-22,1
1739758277000,-104,-4,-24,1
1739758277000,-104,-3,-24,2
1739758277000,-75,20,0,2
1739758277000,-82,18,-6,1
1739758277000,-92,18,-6,3
1739758277000,-108,3,-22,1
1739758277000,-93,17,-6,2
1739758277000,-95,16,-8,1
1739758277000,-73,20,-1,2
1739758277000,-75,19,-3,1
1739758277000,-105,6,-18,1
1739758277000,-106,5,-19,2
1739758277000,-108,3,-21,4
1739758277000,-125,-14,-24,1
1739758277000,-103,5,-19,2
1739758277000,-110,-1,-24,1
1739758277000,-102,5,-20,2
1739758277000,-107,-1,-24,1
1739758277000,-68,20,-3,3
1739758277000,-71,17,-6,1
1739758277000,-72,20,5,4
1739758277000,-74,20,4,3
1739758277000,-99,12,-12,4
1739758277000,-114,-3,-24,1
1739758277000,-99,6,-18,2
1739758277000,-103,5,-20,1
1739758277000,-89,20,-3,2
1739758277000,-90,19,-4,1
1739758277000,-77,20,4,2
1739758277000,-78,20,4,3
1739758277000,-105,0,-24,4
1739758277000,-116,-11,-24,1
1739758277000,-97,3,-21,3
1739758277000,-103,-3,-24,1
1739758277000,-81,20,-1,2
1739758277000,-86,18,-5,1
1739758277000,-95,15,-9,4
1739758277000,-111,0,-24,1
1739758277000,-82,20,-2,2
1739758277000,-89,16,-8,1
1739758277000,-100,10,-14,2
1739758277000,-101,9,-15,1
1739758277000,-74,20,3,3
1739758277000,-76,20,3,4
1739758277000,-79,20,3,2
1739758277000,-98,12,-12,4
1739758277000,-113,-3,-24,1
1739758277000,-88,17,-6,2
1739758277000,-89,17,-6,1
1739758277000,-69,20,1,2
1739758277000,-67,20,4,3
1739758277000,-79,20,3,4
1739758277000,-80,20,3,3
1739758277000,-40,20,6,2
1739758277000,-43,20,5,1
1739758277000,-84,20,-2,2
1739758277000,-87,20,-3,1
1739758277000,-73,20,2,3
1739758277000,-74,20,1,4
1739758277000,-67,12,-12,4
1739758277000,-81,-2,-24,1
1739758277000,-85,20,-1,2
1739758277000,-86,20,-2,1
1739758277000,-101,10,-15,1
1739758277000,-102,9,-16,2
1739758277000,-88,2,-22,1
1739758277000,-90,-1,-24,2
1739758277000,-74,20,3,3
1739758277000,-75,20,3,4
1739758277000,-62,20,4,1
1739758277000,-62,20,6,2
1739758277000,-99,0,-24,4
1739758277000,-111,-12,-24,2
1739758277000,-78,20,4,2
1739758277000,-82,20,2,3
1739758277000,-97,-1,-24,3
1739758277000,-100,-4,-24,1
1739758277000,-87,20,-1,1
1739758277000,-89,20,-3,2
1739758277000,-106,-3,-24,3
1739758277000,-117,-14,-24,2
1739758277000,-64,20,5,2
1739758277000,-68,20,4,1
1739758277000,-82,19,-4,3
1739758277000,-97,5,-19,1
1739758277000,-91,13,-11,3
1739758277000,-102,5,-19,2
1739758277000,-99,12,-12,3
1739758277000,-113,-2,-24,1
1739758277000,-89,20,-3,2
1739758277000,-90,19,-4,1
1739758277000,-63,20,2,2
1739758277000,-64,20,2,1
1739758277000,-86,4,-21,2
1739758277000,-89,3,-21,1
1739758277000,-87,10,-14,1
1739758277000,-87,8,-16,2
1739758277000,-103,2,-23,2
1739758277000,-107,-1,-24,1
1739758277000,-79,20,3,2
1739758277000,-81,20,2,3
1739758277000,-73,20,2,3
1739758277000,-74,20,2,4
1739758277000,-79,20,4,2
1739758277000,-48,20,1,4
1739758277000,-85,20,-2,2
1739758277000,-88,19,-4,1
1739758277000,-85,20,0,3
1739758277000,-93,16,-7,2
1739758277000,-76,20,1,4
1739758277000,-79,20,1,3
1739758277000,-94,6,-18,2
1739758277000,-95,6,-19,1
1739758277000,-104,5,-20,2
1739758277000,-105,3,-22,1
1739758277000,-94,5,-19,1
1739758277000,-98,2,-22,2
1739758277000,-85,20,-1,1
1739758277000,-85,20,0,2
1739758277000,-88,20,-2,4
1739758277000,-99,11,-13,2
1739758277000,-76,20,-1,2
1739758277000,-79,19,-4,1
1739758277000,-73,20,-3,1
1739758277000,-75,20,-1,2
1739758277000,-83,20,2,2
1739758277000,-79,20,-2,2
1739758277000,-83,19,-4,1
1739758277000,-89,10,-14,1
1739758277000,-91,9,-15,2
1739758277000,-81,20,2,2
1739758277000,-82,20,2,1
1739758277000,-74,20,0,2
1739758277000,-80,20,-3,1
1739758277000,-89,2,-23,2
1739758277000,-93,-1,-24,1
1739758277000,-67,20,4,3
1739758277000,-69,20,3,4
1739758277000,-53,20,1,2
1739758277000,-82,20,0,3
1739758277000,-87,19,-3,2
1739758277000,-92,18,-5,1
1739758277000,-93,17,-6,2
1739758277000,-73,20,0,3
1739758277000,-77,20,-1,2
1739758277000,-98,3,-22,1
1739758277000,-98,1,-23,2
1739758277000,-92,14,-10,1
1739758277000,-94,14,-10,2
1739758277000,-109,-2,-24,2
1739758277000,-112,-5,-24,1
1739758277000,-71,20,7,2
1739758277000,-73,20,5,1
1739758277000,-79,20,-3,1
1739758277000,-82,19,-4,2
1739758277000,-87,20,-1,4
1739758277000,-101,9,-16,1
1739758277000,-84,19,-4,4
1739758277000,-99,6,-18,1
1739758277000,-82,3,-21,2
1739758277000,-85,-1,-24,1
1739758277000,-57,20,6,2
1739758277000,-61,20,4,1
1739758277000,-98,7,-17,2
1739758277000,-101,5,-19,1
1739758277000,-69,20,1,3
1739758277000,-96,1,-24,1
1739758277000,-97,1,-24,2
1739758277000,-78,2,-22,1
1739758277000,-79,1,-24,2
1739758277000,-68,20,5,3
1739758277000,-68,20,5,4
1739758277000,-100,11,-13,1
1739758277000,-100,11,-13,2
1739758277000,-74,20,5,3
1739758277000,-79,20,3,2
1739758277000,-90,3,-21,2
1739758277000,-91,1,-24,1
1739758277000,-68,20,5,2
1739758277000,-69,20,4,1
1739758277000,-79,20,-1,3
1739758277000,-96,6,-18,1
1739758277000,-85,20,0,1
1739758277000,-86,20,-1,2
1739758277000,-80,20,-1,2
1739758277000,-88,16,-8,1
1739758277000,-83,20,2,3
1739758277000,-83,20,1,4
1739758277000,-45,20,2,4
1739758277000,-48,20,2,3
1739758277000,-73,20,0,2
1739758277000,-76,20,-3,1
1739758277000,-43,20,2,4
1739758277000,-45,20,2,3
1739758277000,-106,-2,-24,3
1739758277000,-122,-20,-24,2
1739758277000,-105,3,-21,2
1739758277000,-107,1,-23,1
1739758277000,-41,20,2,2
1739758277000,-46,20,1,1
1739758277000,-91,1,-23,2
1739758277000,-94,-2,-24,1
1739758277000,-108,2,-22,2
1739758277000,-109,1,-24,1
1739758277000,-80,20,2,1
1739758277000,-80,20,1,2
1739758277000,-87,2,-22,2
1739758277000,-88,3,-22,1
1739758278000,-79,20,4,1
1739758278000,-79,20,4,2
1739758278000,-70,20,8,2
1739758278000,-75,20,5,1
1739758278000,-103,8,-16,3
1739758278000,-116,-5,-24,1
1739758278000,-96,13,-11,2
1739758278000,-98,12,-12,1
1739758278000,-82,20,0,3
1739758278000,-99,7,-17,1
1739758278000,-83,20,0,2
1739758278000,-87,19,-3,1
1739758278000,-76,20,1,4
1739758278000,-77,20,1,3
1739758278000,-100,11,-13,4
1739758278000,-117,-6,-24,1
1739758278000,-82,16,-8,2
1739758278000,-83,16,-7,1
1739758278000,-71,20,7,2
1739758278000,-73,20,5,1
1739758278000,-97,14,-10,3
1739758278000,-110,1,-24,1
1739758278000,-74,20,7,1
1739758278000,-77,20,7,2
1739758278000,-73,20,3,3
1739758278000,-73,20,3,4
1739758278000,-96,12,-12,2
1739758278000,-97,10,-14,1
1739758278000,-85,20,0,2
1739758278000,-92,17,-6,1
1739758278000,-85,20,-2,2
1739758278000,-88,19,-3,1
1739758278000,-80,20,4,3
1739758278000,-67,20,6,3
1739758278000,-73,20,4,4
1739758278000,-84,20,1,2
1739758278000,-96,7,-17,1
1739758278000,-96,6,-19,2
1739758278000,-71,20,-1,2
1739758278000,-80,13,-11,1
1739758278000,-100,4,-20,2
1739758278000,-102,3,-21,1
1739758278000,-75,20,-2,1
1739758278000,-77,17,-7,2
1739758278000,-51,20,5,3
1739758278000,-51,20,4,4
1739758278000,-75,20,5,2
1739758278000,-78,20,2,1
1739758278000,-71,20,7,2
1739758278000,-74,20,4,1
1739758278000,-100,1,-24,4
1739758278000,-113,-12,-24,2
1739758278000,-107,0,-24,1
1739758278000,-108,-1,-24,2
1739758278000,-102,8,-16,1
1739758278000,-104,5,-20,2
1739758278000,-101,-1,-24,3
1739758278000,-115,-12,-24,2
1739758278000,-98,6,-19,2
1739758278000,-100,6,-19,1
1739758278000,-107,0,-24,4
1739758278000,-116,-9,-24,2
1739758278000,-87,5,-19,1
1739758278000,-88,5,-19,2
1739758278000,-73,20,9,2
1739758278000,-75,20,8,1
1739758278000,-81,20,-2,4
1739758278000,-91,12,-12,2
1739758278000,-71,20,8,3
1739758278000,-73,20,6,4
1739758278000,-84,16,-7,1
1739758278000,-85,16,-8,2
1739758278000,-89,20,-2,2
1739758278000,-94,17,-7,1
1739758278000,-37,20,4,3
1739758278000,-40,20,2,2
1739758278000,-104,7,-17,4
1739758278000,-117,-6,-24,1
1739758278000,-77,20,4,3
1739758278000,-80,20,2,4
1739758278000,-90,18,-6,4
1739758278000,-100,9,-16,2
1739758278000,-57,20,9,2
1739758278000,-58,20,9,1
1739758278000,-64,20,2,2
1739758278000,-65,20,1,4
1739758278000,-80,16,-8,4
1739758278000,-94,2,-22,1
1739758278000,-40,20,2,1
1739758278000,-40,20,2,2
1739758278000,-61,20,4,3
1739758278000,-65,20,1,2
1739758278000,-72,20,4,3
1739758278000,-78,20,1,2
1739758278000,-73,20,1,2
1739758278000,-80,11,-13,3
1739758278000,-93,-1,-24,1
1739758278000,-68,19,-4,4
1739758278000,-86,5,-20,1
1739758278000,-100,11,-14,1
1739758278000,-102,9,-15,2
1739758278000,-65,20,5,3
1739758278000,-70,20,3,4
1739758278000,-76,20,5,2
1739758278000,-74,20,6,3
1739758278000,-88,20,-3,3
1739758278000,-105,5,-19,2
1739758278000,-77,20,0,3
1739758278000,-85,15,-8,1
1739758278000,-84,19,-4,4
1739758278000,-102,5,-19,1
1739758278000,-79,4,-20,1
1739758278000,-80,4,-20,2
1739758278000,-79,20,2,3
1739758278000,-79,20,2,4
1739758278000,-109,-2,-24,3
1739758278000,-123,-15,-24,2
1739758278000,-94,5,-19,1
1739758278000,-97,1,-24,2
1739758278000,-80,20,-2,4
1739758278000,-86,15,-8,2
1739758278000,-87,20,-2,4
1739758278000,-105,5,-20,1
1739758278000,-112,-1,-24,4
1739758278000,-130,-19,-24,1
1739758278000,-82,17,-7,4
1739758278000,-96,3,-21,1
1739758278000,-103,8,-16,1
1739758278000,-104,7,-17,2
1739758278000,-68,18,-5,3
1739758278000,-81,6,-18,1
1739758278000,-109,1,-24,2
1739758278000,-111,-1,-24,1
1739758278000,-81,20,1,1
1739758278000,-107,4,-20,1
1739758278000,-107,4,-20,2
1739758278000,-81,20,-2,2
1739758278000,-83,18,-5,1
1739758278000,-93,17,-7,2
1739758278000,-99,12,-13,1
1739758278000,-88,20,-2,1
1739758278000,-89,19,-3,2
1739758278000,-77,20,5,2
1739758278000,-76,20,7,3
1739758278000,-74,19,-4,1
1739758278000,-77,19,-4,2
1739758278000,-65,20,7,2
1739758278000,-67,20,6,3
1739758278000,-87,20,-1,4
1739758278000,-102,8,-16,2
1739758278000,-79,20,1,1
1739758278000,-80,20,2,2
1739758278000,-102,9,-15,1
1739758278000,-102,9,-15,2
1739758278000,-42,20,5,1
1739758278000,-42,20,6,2
1739758278000,-56,20,9,2
1739758278000,-57,20,8,1
1739758278000,-76,20,5,3
1739758278000,-82,20,3,2
1739758278000,-81,20,3,3
1739758278000,-57,20,9,2
1739758278000,-60,20,8,1
1739758278000,-82,7,-17,1
1739758278000,-83,6,-18,2
1739758278000,-93,5,-20,3
1739758278000,-104,-6,-24,2
1739758278000,-75,20,6,3
1739758278000,-79,20,3,2
1739758278000,-97,0,-24,4
1739758278000,-108,-11,-24,2
1739758278000,-88,18,-5,1
1739758278000,-90,18,-6,2
1739758278000,-73,20,6,2
1739758278000,-78,20,3,1
1739758278000,-92,18,-5,4
1739758278000,-99,12,-12,2
1739758278000,-78,20,1,1
1739758278000,-79,20,1,2
1739758278000,-102,4,-21,2
1739758278000,-103,4,-21,1
1739758278000,-88,20,-2,4
1739758278000,-106,5,-19,1
1739758278000,-83,6,-18,2
1739758278000,-85,5,-19,1
1739758278000,-104,-3,-24,1
1739758278000,-104,-2,-24,2
1739758278000,-75,20,2,2
1739758278000,-75,20,4,3
1739758278000,-92,18,-5,3
1739758278000,-108,3,-21,1
1739758278000,-93,17,-6,2
1739758278000,-95,16,-8,1
1739758278000,-73,20,1,2
1739758278000,-71,20,3,3
1739758278000,-105,6,-18,1
1739758278000,-106,5,-19,2
1739758278000,-108,3,-21,4
1739758278000,-125,-14,-24,1
1739758278000,-103,6,-18,2
1739758278000,-110,0,-24,1
1739758278000,-102,7,-18,2
1739758278000,-107,1,-24,1
1739758278000,-68,20,-1,3
1739758278000,-71,19,-4,1
1739758278000,-72,20,6,4
1739758278000,-74,20,5,3
1739758278000,-99,12,-12,4
1739758278000,-114,-3,-24,1
1739758278000,-99,8,-17,2
1739758278000,-103,5,-19,1
1739758278000,-89,20,-3,2
1739758278000,-90,19,-4,1
1739758278000,-77,20,6,2
1739758278000,-78,20,5,3
1739758278000,-105,2,-22,4
1739758278000,-116,-9,-24,1
1739758278000,-97,6,-18,3
1739758278000,-103,0,-24,1
1739758278000,-81,20,1,2
1739758278000,-81,20,2,3
1739758278000,-95,15,-8,4
1739758278000,-111,0,-24,1
1739758278000,-82,20,0,2
1739758278000,-89,18,-6,1
1739758278000,-100,11,-14,2
1739758278000,-101,9,-15,1
1739758278000,-74,20,6,3
1739758278000,-76,20,6,4
1739758278000,-79,20,5,2
1739758278000,-84,20,1,1
1739758278000,-98,12,-12,4
1739758278000,-113,-3,-24,1
1739758278000,-88,19,-5,2
1739758278000,-89,18,-5,1
1739758278000,-69,20,3,2
1739758278000,-67,20,6,3
1739758278000,-79,20,4,4
1739758278000,-80,20,3,3
1739758278000,-40,20,5,2
1739758278000,-43,20,5,1
1739758278000,-84,20,-1,2
1739758278000,-87,20,-2,1
1739758278000,-73,20,4,3
1739758278000,-74,20,4,4
1739758278000,-67,15,-9,4
1739758278000,-81,1,-24,1
1739758278000,-85,20,-1,2
1739758278000,-86,20,-1,1
1739758278000,-101,10,-14,1
1739758278000,-102,9,-15,2
1739758278000,-88,5,-20,1
1739758278000,-90,1,-24,2
1739758278000,-74,20,6,3
1739758278000,-75,20,6,4
1739758278000,-62,20,7,1
1739758278000,-62,20,8,2
1739758278000,-99,2,-22,4
1739758278000,-111,-10,-24,2
1739758278000,-78,20,5,2
1739758278000,-82,20,3,3
1739758278000,-97,0,-24,3
1739758278000,-100,-3,-24,1
1739758278000,-87,20,-1,1
1739758278000,-89,20,-2,2
1739758278000,-106,0,-24,3
1739758278000,-117,-11,-24,2
1739758278000,-64,20,8,2
1739758278000,-68,20,6,1
1739758278000,-82,20,-3,3
1739758278000,-97,6,-18,1
1739758278000,-91,15,-9,3
1739758278000,-102,6,-18,2
1739758278000,-99,12,-12,3
1739758278000,-113,-2,-24,1
1739758278000,-89,20,-3,2
1739758278000,-90,19,-4,1
1739758278000,-63,20,4,2
1739758278000,-64,20,3,1
1739758278000,-86,7,-17,2
1739758278000,-89,6,-18,1
1739758278000,-87,12,-12,1
1739758278000,-87,11,-13,2
1739758278000,-103,4,-20,2
1739758278000,-107,1,-24,1
1739758278000,-79,20,5,2
1739758278000,-81,20,3,3
1739758278000,-73,20,5,3
1739758278000,-74,20,5,4
1739758278000,-79,20,6,2
1739758278000,-48,20,4,4
1739758278000,-50,20,4,3
1739758278000,-85,20,-1,2
1739758278000,-88,19,-3,1
1739758278000,-85,20,0,3
1739758278000,-93,16,-8,2
1739758278000,-76,20,3,4
1739758278000,-79,20,3,3
1739758278000,-94,9,-15,2
1739758278000,-95,8,-16,1
1739758278000,-104,6,-18,2
1739758278000,-105,4,-20,1
1739758278000,-94,7,-17,1
1739758278000,-98,4,-20,2
1739758278000,-85,20,0,1
1739758278000,-85,20,1,2
1739758278000,-88,20,-2,4
1739758278000,-99,12,-13,2
1739758278000,-76,20,0,2
1739758278000,-79,20,-3,1
1739758278000,-73,20,-1,1
1739758278000,-75,20,0,2
1739758278000,-83,20,1,2
1739758278000,-79,20,0,2
1739758278000,-83,20,-2,1
1739758278000,-89,12,-12,1
1739758278000,-91,12,-13,2
1739758278000,-81,20,3,2
1739758278000,-82,20,3,1
1739758278000,-74,20,3,2
1739758278000,-77,20,2,3
1739758278000,-89,2,-22,2
1739758278000,-93,0,-24,1
1739758278000,-67,20,7,3
1739758278000,-69,20,6,4
1739758278000,-53,20,2,2
1739758278000,-82,20,2,3
1739758278000,-92,18,-5,1
1739758278000,-93,17,-6,2
1739758278000,-73,20,1,3
1739758278000,-98,4,-20,1
1739758278000,-98,4,-21,2
1739758278000,-92,16,-8,1
1739758278000,-94,15,-9,2
1739758278000,-109,-1,-24,2
1739758278000,-112,-4,-24,1
1739758278000,-71,20,10,2
1739758278000,-73,20,7,1
1739758278000,-79,20,-1,1
1739758278000,-82,20,-2,2
1739758278000,-87,20,-1,4
1739758278000,-101,9,-15,1
1739758278000,-84,20,-2,4
1739758278000,-99,7,-17,1
1739758278000,-82,4,-20,2
1739758278000,-85,0,-24,1
1739758278000,-57,20,8,2
1739758278000,-61,20,6,1
1739758278000,-98,9,-16,2
1739758278000,-101,6,-18,1
1739758278000,-69,20,3,3
1739758278000,-96,3,-21,1
1739758278000,-97,3,-21,2
1739758278000,-78,6,-19,1
1739758278000,-79,4,-20,2
1739758278000,-68,20,8,3
1739758278000,-68,20,8,4
1739758278000,-100,11,-13,1
1739758278000,-100,11,-13,2
1739758278000,-74,20,7,3
1739758278000,-79,20,5,2
1739758278000,-90,5,-19,2
1739758278000,-91,3,-21,1
1739758278000,-68,20,8,2
1739758278000,-69,20,7,1
1739758278000,-79,20,0,3
1739758278000,-96,7,-17,1
1739758278000,-85,20,0,1
1739758278000,-86,20,-1,2
1739758278000,-80,20,1,2
1739758278000,-79,20,3,3
1739758278000,-83,20,2,3
1739758278000,-83,20,2,4
1739758278000,-45,20,5,4
1739758278000,-48,20,5,3
1739758278000,-73,20,2,2
1739758278000,-73,20,2,3
1739758278000,-43,20,5,4
1739758278000,-45,20,5,3
1739758278000,-106,0,-24,3
1739758278000,-122,-17,-24,2
1739758278000,-105,4,-20,2
1739758278000,-107,2,-22,1
1739758278000,-41,20,3,2
1739758278000,-46,20,2,1
1739758278000,-91,2,-22,2
1739758278000,-94,-1,-24,1
1739758278000,-108,2,-22,2
1739758278000,-109,1,-24,1
1739758278000,-69,20,4,3
1739758278000,-72,20,2,2
1739758278000,-96,5,-20,1
1739758278000,-98,6,-19,2
1739758279000,-79,20,4,1
1739758279000,-79,20,5,2
1739758279000,-70,20,9,2
1739758279000,-75,20,6,1
1739758279000,-103,8,-16,3
1739758279000,-116,-5,-24,1
1739758279000,-96,13,-11,2
1739758279000,-98,12,-12,1
1739758279000,-82,20,0,3
1739758279000,-99,8,-17,1
1739758279000,-83,20,1,2
1739758279000,-83,20,2,3
1739758279000,-76,20,2,4
1739758279000,-77,20,1,3
1739758279000,-100,11,-13,4
1739758279000,-117,-6,-24,1
1739758279000,-82,17,-6,2
1739758279000,-83,17,-6,1
1739758279000,-71,20,8,2
1739758279000,-73,20,6,1
1739758279000,-97,14,-10,3
1739758279000,-110,1,-24,1
1739758279000,-74,20,8,1
1739758279000,-77,20,7,2
1739758279000,-73,20,4,3
1739758279000,-73,20,4,4
1739758279000,-96,12,-12,2
1739758279000,-97,11,-14,1
1739758279000,-85,20,1,2
1739758279000,-84,20,2,3
1739758279000,-85,20,-1,2
1739758279000,-88,20,-3,1
1739758279000,-80,20,5,3
1739758279000,-84,20,1,2
1739758279000,-67,20,6,3
1739758279000,-73,20,4,4
1739758279000,-84,20,2,2
1739758279000,-85,20,1,1
1739758279000,-96,9,-16,1
1739758279000,-96,7,-17,2
1739758279000,-71,20,-1,2
1739758279000,-80,14,-10,1
1739758279000,-100,4,-20,2
1739758279000,-102,4,-21,1
1739758279000,-75,20,-1,1
1739758279000,-77,17,-6,2
1739758279000,-51,20,7,3
1739758279000,-51,20,6,4
1739758279000,-75,20,6,2
1739758279000,-78,20,3,1
1739758279000,-71,20,7,2
1739758279000,-74,20,5,1
1739758279000,-100,3,-22,4
1739758279000,-113,-10,-24,2
1739758279000,-107,1,-24,1
1739758279000,-108,0,-24,2
1739758279000,-102,8,-16,1
1739758279000,-104,5,-19,2
1739758279000,-101,1,-24,3
1739758279000,-115,-11,-24,2
1739758279000,-98,6,-18,2
1739758279000,-100,6,-18,1
1739758279000,-107,1,-24,4
1739758279000,-116,-8,-24,2
1739758279000,-87,8,-16,1
1739758279000,-88,8,-16,2
1739758279000,-73,20,9,2
1739758279000,-75,20,9,1
1739758279000,-81,20,-2,4
1739758279000,-91,12,-12,2
1739758279000,-71,20,10,3
1739758279000,-73,20,8,4
1739758279000,-84,17,-6,1
1739758279000,-85,17,-7,2
1739758279000,-89,20,-2,2
1739758279000,-94,17,-7,1
1739758279000,-37,20,6,3
1739758279000,-40,20,4,2
1739758279000,-104,7,-17,4
1739758279000,-117,-6,-24,1
1739758279000,-77,20,5,3
1739758279000,-80,20,3,4
1739758279000,-90,18,-5,4
1739758279000,-100,9,-15,2
1739758279000,-57,20,12,2
1739758279000,-58,20,12,1
1739758279000,-64,20,3,2
1739758279000,-65,20,2,4
1739758279000,-80,18,-5,4
1739758279000,-94,6,-19,1
1739758279000,-40,20,2,1
1739758279000,-40,20,2,2
1739758279000,-61,20,5,3
1739758279000,-65,20,3,2
1739758279000,-72,20,6,3
1739758279000,-78,20,3,2
1739758279000,-73,20,1,2
1739758279000,-80,15,-9,3
1739758279000,-93,2,-22,1
1739758279000,-68,20,-1,4
1739758279000,-86,8,-17,1
1739758279000,-100,11,-14,1
1739758279000,-102,9,-15,2
